Name;Author;Rank;Genus;Family;Order;Class;Phylum;Kingd;Status;Mainl;Origin;CurDis;Pathw1;Pathw2;LifeSt;Ecosys;Observ;AOO;Imp12;Impact;minImp;maxImp;InvPot;minInv;maxInv;clmInv;EcoEff;minEff;maxEff;clmEff;A;minA;maxA;B;minB;maxB;C;minC;maxC;D;minD;maxD;E;minE;maxE;F;minF;maxF;G;minG;maxG;H;minH;maxH;I;minI;maxI
Abies amabilis;(Douglas ex Loudon) J.Forbes;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;NAm;Eur,NAm;esc;bza;for;NA;2012;40;NR;NK;NK;NK;1;1;1;FALSE;1;1;1;FALSE;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies balsamea;(L.) Mill.;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;NAm;Eur,NAm;esc;for,hort;for;NA;1850;512;LO;LO;LO;LO;3;3;3;FALSE;1;1;1;FALSE;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies cephalonica;Loudon;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;Eur;Eur,Oc;esc;hort,orn;for;NA;2005;120;NR;LO;LO;LO;2;2;2;FALSE;1;1;1;FALSE;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies concolor;(Gordon & Glend.) Lindl. ex Hildebr.;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;NAm;Eur,NAm,Oc;esc;for,hort,orn;for,low;NA;1875;1000;PH;PH;LO;PH;4;3;4;FALSE;1;1;1;FALSE;3;3;3;4;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies grandis;(Douglas ex D.Don) Lindl.;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;NAm;Eur,NAm,Oc;esc;for,hort,orn;for,low;NA;1890;240;PH;LO;LO;LO;3;3;3;FALSE;1;1;1;FALSE;2;2;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies koreana;E.H. Wilson;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;As;Eur,As,Oc;esc;hort,orn;NA;NA;2009;60;LO;LO;LO;LO;3;2;3;FALSE;1;1;1;FALSE;2;1;2;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies lasiocarpa;(Hook.) Nutt.;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;NAm;Eur,NAm;esc;for,hort;for;T04;1890;1216;LO;LO;LO;LO;3;3;3;FALSE;2;2;2;FALSE;3;3;3;3;3;3;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
Abies magnifica;A.Murray bis;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;NAm;Eur,NAm;esc;hort;for;NA;2005;20;NR;NK;NK;NK;1;1;1;FALSE;1;1;1;FALSE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies mariesii;Mast.;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;As;Eur,As,Oc;esc;for;for;NA;2007;8;NK;NK;NK;NK;1;1;1;FALSE;1;1;1;FALSE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies nordmanniana;(Steven) Spach;species;Abies;Pinaceae;Pinales;Pinopsida;Pinophyta;Plantae;reproducing;TRUE;Eur,As;Eur,As,NAm,Oc;esc;for,hort,orn,bza;for,low;NA;1860;736;NR;LO;LO;LO;3;3;3;FALSE;1;1;1;FALSE;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
